"
Still pretty bureaucratic and political. Pay and benefits are great, but a bit less than leading competitors.",5.0,"
Awesome company, mission, breadth of tech products ranging from the Windows and Office stalwarts to Azure, Surface, and Hololens. Culture has improved dramatically under Satya, and he’s investing in commercial cloud growth markets even if they aren’t as umer oriented or sexy.",Current Employee Senior Business Planner in Redmond WA,2019-08-13,microsoft
"
ambiguous work environment, technical skills and product knowledge are undervalued. Sales quotas and named, restricted account list limit net new growth. Account Exec's are terrible in building relationships with customers and getting access into the customers leadership.",5.0,"
fat salary, stock, cash bonus, benefits are the best available anywhere",Current Employee Dynamics 365 TSP Enterprise in Los Angeles CA,2019-08-12,microsoft
"
Calibre of individuals is high, but not necessarily as high as Google.",5.0,"
Relaxed culture like most large tech firms. Good benefits, tructive culture.",Former Employee SWE in Palo Alto CA,2019-08-10,microsoft
"
Nothing that I experienced",5.0,"
Good work culture Nice work environment",Current Employee Business Program Manager,2019-08-09,microsoft
"
Based on peer's anecdotal experiences, some teams have worse work environments than others. So maybe hit or miss with what team you end up on.",5.0,"
I felt fairly compensated. My team was very accommodating to several personal life events with no perceived equence to my career or work environment.",Former Employee SDE II in Redmond WA,2019-08-07,microsoft
"
It can be difficult to keep up with at times. You will be successful if you have an entrepreneurial spirit and are great with people and coworkers. I left because I was too young at the time, and I wanted to work on myself before applying myself to such a fast-paced, ever-changing environment. It was intimidating at the time. Other than that, best job I've ever had.",5.0,"
The culture of inclusiveness is not only advertised at orientation but exercised throughout your career. There are various roles on the team and you have the freedom to explore different roles and find your best fit. You learn so much more than the brand. Also, there are abundant opportunities to advance if you put your mind to it.",Former Employee Inventory Control Expert in San Antonio TX,2019-08-06,microsoft
"
Work/Life balance can be challenging at times.",5.0,"
Friendly environment. Lots of leaders and support.",Current Employee Producer in Mountain View CA,2019-08-06,microsoft
"
Customer Services & Support (CSS) is perceived as a cost center. Highly motivated to move US-based activities to cheaper markets. Case loads can exceed 20 cases at a time for the Active Directory team.",5.0,"
Amazingly smart colleagues. Supportive management",Current Employee Support Engineer in Fargo ND,2019-08-02,microsoft
"
Hard to advance after store manager role",5.0,"
Great benefits and work/life balance",Current Employee Store Manager,2019-08-05,microsoft
"
Compensation might be better at some other top tech companies.",5.0,"
Microsoft has risen from the ashes and reinvented itself. It's really noticeable how ""fresh"" things feel. It is great to work here.",Current Employee Software Engineer in Redmond WA,2019-08-03,microsoft
"
sometimes have to work with legacy code, not always fun.",5.0,"
Lots of opportunity to move around and learn",Current Employee Software Engineer in Redmond WA,2019-08-04,microsoft
"
Base pay and RSUs are lower than industry. Because of that the good people leave for better pay eventually. This causes not only churn, but also reduces the quality of the engineers eventually. Satya did a good job on the image of the company, however when you are inside, many things are the same. Diversity and inclusion is a joke. Most upper mid-level management (some M2s, most directors, DEs, junior VPs) resist to...
Show More",4.0,"
Great benefits with health insurance, legal support, and gym membership. It is a true software company if software engineering is indeed your passion.",Current Employee Principal Software Engineering Manager in Redmond WA,2019-08-18,microsoft
"
There's a lot of work to do and sometimes too few people to do it. So the hours can be hard, but the company and organizations are working to fix it. It's a legacy of the old world.",5.0,"
Satya Nadella is a thoughtful, brilliant CEO who is creating a great change in the culture of Microsoft both internally and externally.",Current Employee Business Program Manager,2019-07-31,microsoft
"
Work life balance gets blurred. Not much room for growth with retail if you don't want to be a manager in retail store.",5.0,"
Great company to work for, great job for college students. Management really care about the people who work there.",Current Employee Inventory Control Expert in Miami FL,2019-08-02,microsoft
"
Lots of bureaucracy to work through",4.0,"
Satya Nadella is a great leader and his influence is felt at all levels; company on a great trajectory",Former Employee Principal PM Manager in San Francisco CA,2019-08-16,microsoft
"
Fairly political environment, gets in the way of good work.",3.0,"
Good salary and benefits. Reasonable working conditions.",Former Employee Principal Patent Engineer in Redmond WA,2019-08-16,microsoft
"
Compensation still not on par with other big companies.",5.0,"
Great remote culture and work life balance.",Current Employee Principal Cloud Advocate,2019-08-01,microsoft
"
Corporate structure, sometimes slow to move or change direction, promotion is not necessarily about merit, job is often all-uming",3.0,"
Surrounded by brilliant people, work on projects with major impact, work with people from around the world",Current Employee Software Development Engineer II in Redmond WA,2019-08-15,microsoft
"
None that I can think of",5.0,"
Great place to work and build a career!",Current Employee Human Resources Manager,2019-07-31,microsoft
"
tant change and reorganization can be overwhelming and lead to career exhaustion.",5.0,"
Servant leader with Satya is an amazing turn around from previous leadership at Microsoft. Developing and investing in staff is a great sign of the continued growth.",Current Employee Senior Solutions Specialist,2019-07-31,microsoft
"
Often time the projects cannot get approved due to various reasons.",5.0,"
Lots of good benefits. Work life balance is great",Current Employee Software Engineer,2019-07-31,microsoft
"
Not enough physical stores to work.",5.0,"
Amazing Benefits, very close-knit staff, looks out for all employees. Treated fair and could easily talk to any of my managers.",Former Employee Key Holder in Columbia MD,2019-07-30,microsoft
"
Very large organization with overlapping roles and responsibilities.",4.0,"
Smart, driven people. Aggressively adapting to stay relevant.",Former Employee Product Marketing Director in Redmond WA,2019-08-13,microsoft
"
here is a culture change happening but there are still a lot of the Ballmer era people around collecting enormous paychecks. Satya should work to clear these people out. My old GM was reported multiple times for discrimination and yet he is still there. Amy Hood is severely under resourcing long-standing businesses to keep our valuation where it is at. It feels a little too scrappy for a trillion $ company.",4.0,"
Decent benefits and stock price currently. Not on par with pay and benefits as other tech companies. Marketing is severely under valued and paid less with the most work at the company.",Current Employee Director of Marketing,2019-08-13,microsoft
"
Lack of stability, tant reorgs.",5.0,"
Great benefits and pay. No compaints there.",Current Employee Service Engineer in Humacao PR,2019-07-29,microsoft
"
Hard to do anything quickly",4.0,"
Easy to switch teams Lots of new opportunities",Current Employee Software Engineer,2019-08-12,microsoft
"
too much politics, no teamwork",4.0,"
good work life balance, average pay",Current Employee Software Engineer,2019-08-12,microsoft
"
When there is no traffic coming in, they tend to micro-manage their employees. Completely backwards way to manage dead time.",2.0,"
Benefits and paid time off",Current Employee Product Advisor in Houston TX,2019-08-13,microsoft
"
Really bad work-life balance in hardware due to frequent unplanned work travel and evening calls; bloated meetings; some poor management",3.0,"
Great benefits, salary. Coworkers are mostly relaxed so good work life balance in most parts of the company",Former Employee Mechanical Engineer in Redmond WA,2019-08-12,microsoft
"
The weather in Washington is not fun.",4.0,"
Great company to work for.",Current Employee Engineer in Redmond WA,2019-08-10,microsoft
"
-Making decisions can be slow at times as it moves through hierarchical chain -People leverage politics to promote themselves -It can be rather easy to be siloed into very specific projects that may or may not align with your skillset or interest",5.0,"
-Strong leadership with clear and transparent vision -Great benefits and compensation -People are encouraged and rewarded for collaboration and partnership -Excellent work-life flexibility -Managers genuinely care about the well-being of their team members -A culture of giving back to the community, and they really mean it!",Current Employee Senior Data Analyst in Redmond WA,2019-07-24,microsoft
"
No minus all good here",4.0,"
Good place very nice to eork",Current Employee Senior Software Engineer in New York NY,2019-08-09,microsoft
"
Politics of large company can be a lot",5.0,"
Flexible work-life balance, good pay, smart employees",Current Employee Software Engineer,2019-07-26,microsoft
"
Heavy workload Too much work for too little Quarterly bonus is laughable",4.0,"
Decent pay Solid benefits Flexibility Good networking",Current Employee Product Advisor in Paramus NJ,2019-08-09,microsoft
"
No minus all good here",4.0,"
Good place very nice to eork",Current Employee Senior Software Engineer in New York NY,2019-08-09,microsoft
"
Slower to react to external opportunities, internal politics",5.0,"
Excellent people and career opportunities",Current Employee Finance Director in Seattle WA,2019-07-25,microsoft
